node,relation_nodes
2183070397,"420265840,946186493,946186451,946186564,2173689880,2174686345,2183070378,6148990398"
420265840,"2183070397,420266574,2173660847,5350855473,946186451,946186361,946186564,2173689880,2173660836,2174686345,2174686268,2178476543,5661496824,6148990398"
420265843,"2613703150,2174824856,420265809,1736755354,2164121813,2164121814,2164121626,2164121390,2178500944,2168682528,2170750591,2178066606,420265844,420265850,2178476241,2178476585,2180045105,2175276197,2168887525,6157736603,4290306491,1884243838"
2613703150,"420265843,2613703147,1884243838"
377671545,"377671538,420266478,1617714516,5588953596,1819473139,420265842,946186371,946186327,946186574,946186521,4290306585,1819473170,2170972578,2190862632,2900202269,2617007630,2893899623,2893899635,2894676679,2894716025,2895811623,377671543,1617714469,3133657329,3780850678,4281259490,4281259854,4281260706,1617714305,4281259856,4281259484,6306739410,4281258492,6306739436,420266105,4281257282,4281259903,3768473969,4281259550,4281257273,2209950092,4293660914,420266051,5158937502,5158937655,5158937804,5158937826,5158937849,5158937919,1617714472,5158937975,5158937976,5158938142,5158938162,5158938187,5664365428,420265848,5664342423,5699512107,6148990411,6148990428,6148990417,6148990442,6148990448,5699512106,3768473968,6149050893,6149835543,6149835556,6149835564,420266059,6151749432,4293660801,4293660715,6306739425,6306739426,6306739445"
420266478,"377671545,420266692,420266475,2178500980,420266717,420266699,420266722,420266720,420266709,1819473139,420265842,946186371,946186327,946186574,946186521,4290306585,2170972578,2173660743,2177218792,5971176482,2180045103,2190862632,2900202269,2617007630,2893899623,2893899635,2894676679,2894716025,3635426759,1726781817,2209950092,5158937502,5664365428,420265848,5664342423,2999214881,5699512107,6148990140,6148990154,6148990164,6148990173,6148990411,6148990428,6148990417,6148990442,6148990448,5699512106,6149050893,6157736658,2180045087,6157736670,6157816077"
420265804,"2171343016,2613703147,2709068137,1412287835,2168682525,2168682657,2168682540,2171371452,2171371460,2175276316,2175276457,2175276392,2164044716,2175276418,4283744613,6163934179,420265880,2175276495,1412287836,2576189188,2170712689,2178500959,6163934161,2168682679"
2171343016,"420265804,2164044690,2181490388,1412287836,2164044604,2164121812,2164121687,2576189188,4492082006,2168682725,2168887481,2170712689,2170934095,2170933815,2171301428,2171301728,2171301767,2171301253,2171301393,2171342989,2171343052,420265812,2178500959,2181490354,2193956744,2576189185,2170933861,6163934161,2168682679,2183061103"
1726781754,"420266782,420266791,420266744,420266068,1726781737,420266787,2092582356,2174686265,1726781733,4779272265,5446967790,420266780"
420266782,"1726781754,420266666,420266687,420266668,420266354,420266783,1727016462,1726781676,5446966713,420266812"
420266475,"2178500980,420266121,420266478,420266436,946186464,946186234,946186295,420266727,420266238,2168682558,2177218804,2178452567,5759152225,6148990156"
5821894871,
2987273573,"420266791,470538283,2195625503,420266614,5668274721,2092582355,5922526017"
420266791,"420266540,420266783,2987273573,1726781754"
420266656,"420266654,420266795,420266588,2181321182"
420266654,"420266656,420265809,420266482,6157736604"
4779272264,"420266795,2186707523,6157816047,6157816050"
